iter	MultiClass
0	1.023865376
1	0.9609648303
2	0.9117435702
3	0.8695738733
4	0.833860066
5	0.8050961921
6	0.7798840611
7	0.7584972498
8	0.73737218
9	0.718750827
10	0.7040530481
11	0.690847956
12	0.6798065046
13	0.6683157254
14	0.6591961317
15	0.6508624826
16	0.6439240104
17	0.6359725033
18	0.6279455304
19	0.6228766527
20	0.6175990267
21	0.6124931297
22	0.6074379536
23	0.6033442622
24	0.5989315226
25	0.5951798146
26	0.5915728877
27	0.5888304233
28	0.5861168607
29	0.5834616055
30	0.5815004738
31	0.5798340106
32	0.5771523056
33	0.5743892158
34	0.5731055083
35	0.571197384
36	0.5700186967
37	0.5694945865
38	0.5670883038
39	0.5649883256
40	0.5644065548
41	0.5629246442
42	0.5618562526
43	0.5613638041
44	0.5588587292
45	0.5583899364
46	0.556722924
47	0.556099207
48	0.5555138884
49	0.5534508554
50	0.5526798635
51	0.5499568185
52	0.5491396379
53	0.5489470896
54	0.5472398148
55	0.5457196806
56	0.5450463662
57	0.5445009051
58	0.5434754783
59	0.5416977073
60	0.5411151618
61	0.5407717763
62	0.5397002029
63	0.5386878709
64	0.5380912605
65	0.5376691291
66	0.5373352068
67	0.5367390947
68	0.5355332554
69	0.5347446005
70	0.5345161636
71	0.5342041856
72	0.5332430127
73	0.5326752911
74	0.5314779808
75	0.5310214329
76	0.5308172566
77	0.5299961447
78	0.5297001978
79	0.5288560615
80	0.5275737116
81	0.5269952286
82	0.5266675708
83	0.5259156693
84	0.5255121103
85	0.5247681372
86	0.5240237945
87	0.5230124836
88	0.52238827
89	0.521590287
90	0.520955123
91	0.5206949172
92	0.5198395894
93	0.5195411286
94	0.5189828137
95	0.5181866395
96	0.5169655106
97	0.5164904697
98	0.5158197975
99	0.5151068535
100	0.5146335744
101	0.5142823377
102	0.5140096474
103	0.5130325563
104	0.5116525368
105	0.5106267824
106	0.5097457202
107	0.5085061639
108	0.5077330832
109	0.5073071638
110	0.5063843651
111	0.5056866305
112	0.5054048629
113	0.504748646
114	0.5043540078
115	0.5040350534
116	0.5031881359
117	0.5021436015
118	0.501354056
119	0.4987441488
120	0.4974911938
121	0.4965577786
122	0.4956969207
123	0.4946801116
124	0.4933039755
125	0.4929397095
126	0.4926909882
127	0.4924595088
128	0.4906449729
129	0.4899237564
130	0.4892767901
131	0.488654222
132	0.4881604128
133	0.487429161
134	0.4871473037
135	0.486803446
136	0.4863240348
137	0.4858263529
138	0.4851417063
139	0.4843924021
140	0.4838433919
141	0.483266508
142	0.4830202312
143	0.4825138152
144	0.4819217835
145	0.4810908213
146	0.4808080259
147	0.4806094368
148	0.4800922632
149	0.4793164027
150	0.4788420773
151	0.4784365763
152	0.4778853533
153	0.4775650195
154	0.4771882359
155	0.4764047389
156	0.4759306073
157	0.475603284
158	0.4753389936
159	0.4749552195
160	0.4744529351
161	0.4741225766
162	0.4738391707
163	0.4726487703
164	0.4721191168
165	0.4714245963
166	0.471084353
167	0.4708241634
168	0.470165277
169	0.4698620002
170	0.4694934123
171	0.4691247958
172	0.4689399198
173	0.46819207
174	0.4674511017
175	0.4671088611
176	0.4667012749
177	0.4659222829
178	0.4653608869
179	0.4649039794
180	0.4645107286
181	0.4642322542
182	0.4638945259
183	0.4634427539
184	0.4631525413
185	0.4624878983
186	0.4620758338
187	0.4616691006
188	0.4613873586
189	0.4612515775
190	0.4609784574
191	0.4607432527
192	0.4604135434
193	0.4600606835
194	0.4598511982
195	0.4592269489
196	0.4589502409
197	0.458255443
198	0.4579742865
199	0.4577495644
200	0.45749356
201	0.457028536
202	0.4566149974
203	0.4561526652
204	0.4555145682
205	0.4547128389
206	0.4541742657
207	0.4540038728
208	0.4535885418
209	0.4529619257
210	0.4526289738
211	0.4522499746
212	0.4516166488
213	0.4513421423
214	0.4504046786
215	0.4501890194
216	0.4498042402
217	0.4489719514
218	0.4487300193
219	0.4483985443
220	0.4481858297
221	0.4476860596
222	0.4475439803
223	0.4472260361
224	0.4470079731
225	0.4466570209
226	0.4460471033
227	0.4455107287
228	0.4451418593
229	0.4448910709
230	0.4446006855
231	0.4441691422
232	0.4439091823
233	0.4435745984
234	0.4433255049
235	0.4429461971
236	0.4424305617
237	0.4420088397
238	0.4417235474
239	0.4414376983
240	0.4411468851
241	0.4408223496
242	0.440318637
243	0.4392911245
244	0.4389251603
245	0.4385610216
246	0.4383750015
247	0.4381162445
248	0.4375763269
249	0.437421112
250	0.4370599784
251	0.4367931439
252	0.4363927493
253	0.4361779268
254	0.4359342591
255	0.4356546551
256	0.4354381503
257	0.4352672623
258	0.4348394173
259	0.4346721131
260	0.4343345174
261	0.4341612535
262	0.4339830228
263	0.433711036
264	0.4334518374
265	0.4332711754
266	0.4330805682
267	0.4326585639
268	0.4324405625
269	0.4321009727
270	0.4314628011
271	0.4310331479
272	0.4306270592
273	0.4304400507
274	0.430191727
275	0.4298308399
276	0.4290023561
277	0.4287765308
278	0.4281320406
279	0.4279567325
280	0.4276686759
281	0.4274689501
282	0.4272906393
283	0.4268651915
284	0.426583368
285	0.4264622243
286	0.4262676317
287	0.4261198949
288	0.4258797179
289	0.4257219425
290	0.4254359721
291	0.4249381379
292	0.424600628
293	0.424451958
294	0.4239783016
295	0.4237042991
296	0.4228643623
297	0.4226806538
298	0.4223036086
299	0.4220816875
300	0.4218008423
301	0.4211753506
302	0.4208119301
303	0.4206947777
304	0.4193067281
305	0.4189731228
306	0.4187343492
307	0.4184086136
308	0.4181443972
309	0.4178934814
310	0.4173354151
311	0.4168605504
312	0.4163475347
313	0.4161281963
314	0.415864594
315	0.4155378795
316	0.4153419184
317	0.4150358121
318	0.4148435579
319	0.4143350037
320	0.4134227192
321	0.4130603675
322	0.4128311794
323	0.4124585063
324	0.4122752367
325	0.412063551
326	0.4118135143
327	0.4116351696
328	0.4109606638
329	0.4106839791
330	0.4104835674
331	0.4101220779
332	0.4099867663
333	0.4097938361
334	0.4096033049
335	0.4094427374
336	0.4090330833
337	0.4088644218
338	0.4086642128
339	0.4084185899
340	0.4081940752
341	0.408008916
342	0.4078565831
343	0.4076368543
344	0.4074323152
345	0.4072242349
346	0.4069664538
347	0.406713955
348	0.4064759971
349	0.4060126796
350	0.4058368665
351	0.4054883513
352	0.4051136336
353	0.404780823
354	0.4046101991
355	0.4043847679
356	0.4042102895
357	0.4039527493
358	0.4037791931
359	0.4036046013
360	0.4033240602
361	0.4031164712
362	0.4026260705
363	0.4024371428
364	0.4017779656
365	0.4013913103
366	0.4008330232
367	0.40059553
368	0.4003182898
369	0.4001708894
370	0.3999836834
371	0.3997354042
372	0.3995275573
373	0.3993483127
374	0.3992216238
375	0.3990140609
376	0.3984641851
377	0.3982518738
378	0.398128928
379	0.3978692691
380	0.3975903629
381	0.3973596539
382	0.3972343912
383	0.3969496264
384	0.396791105
385	0.396605266
386	0.3963810986
387	0.3962609901
388	0.3960562645
389	0.3958284688
390	0.3955883947
391	0.3954850868
392	0.3952128835
393	0.3946603198
394	0.394485496
395	0.3942698498
396	0.3939188527
397	0.3936957489
398	0.3933044469
399	0.3929930576
400	0.3928643399
401	0.3926191202
402	0.3923524107
403	0.3922089778
404	0.3920574257
405	0.391847742
406	0.3917129662
407	0.3914896349
408	0.391049523
409	0.3907066307
410	0.3905713895
411	0.3903606203
412	0.390208145
413	0.3896808916
414	0.3895245514
415	0.3893939598
416	0.3891475817
417	0.3888224123
418	0.388528744
419	0.3883485878
420	0.3881571951
421	0.3879835896
422	0.3877992926
423	0.3872962069
424	0.3870905779
425	0.3869429275
426	0.3867837259
427	0.3865533426
428	0.3864047962
429	0.3862083029
430	0.3860109238
431	0.3857568155
432	0.3855655131
433	0.3854314129
434	0.3852337738
435	0.3846494054
436	0.3843873557
437	0.384170372
438	0.3839065887
439	0.3837644608
440	0.3835177067
441	0.3832113339
442	0.3830236661
443	0.3828539054
444	0.3826943511
445	0.3823253465
446	0.3821311036
447	0.3818113075
448	0.3816353967
449	0.3814164303
450	0.3809026973
451	0.3807750781
452	0.3804954345
453	0.3802261635
454	0.3800089428
455	0.3797864427
456	0.3795474738
457	0.3793192974
458	0.3791512916
459	0.3790446498
460	0.3788463845
461	0.3786201285
462	0.3784553683
463	0.3782262302
464	0.3780861014
465	0.3778693411
466	0.37766726
467	0.3775454606
468	0.3773380715
469	0.377212983
470	0.3768879067
471	0.3767919776
472	0.3765511534
473	0.3764474322
474	0.3763439918
475	0.3760667595
476	0.3759138761
477	0.3757562302
478	0.3755863525
479	0.3750189394
480	0.3748577194
481	0.3746399993
482	0.3739946851
483	0.3737994078
484	0.3732731498
485	0.3731053013
486	0.3728927127
487	0.3726397598
488	0.3722313059
489	0.3719869987
490	0.3717824583
491	0.3715416362
492	0.3714465158
493	0.3712648413
494	0.3711885764
495	0.3705696587
496	0.3703674342
497	0.3700682663
498	0.369817388
499	0.3696538293
500	0.3694800262
501	0.3692071867
502	0.3690868767
503	0.3688895264
504	0.3688023728
505	0.3685767097
506	0.3684207055
507	0.3681026919
508	0.3678646633
509	0.3674457799
510	0.3671441307
511	0.3668987922
512	0.3667602401
513	0.366439479
514	0.3662770452
515	0.3661175814
516	0.3659654177
517	0.3656382675
518	0.365449501
519	0.3653288823
520	0.365023125
521	0.3648623248
522	0.3646206581
523	0.3642039794
524	0.3640378114
525	0.3639356576
526	0.3635029891
527	0.3630811615
528	0.3629351634
529	0.3627779193
530	0.3626311381
531	0.362323135
532	0.362117425
533	0.3618419467
534	0.3615933272
535	0.3613919975
536	0.3611008928
537	0.3609648267
538	0.3607697916
539	0.3605659439
540	0.3604312874
541	0.3602998289
542	0.3601571999
543	0.3600327631
544	0.3594876624
545	0.3591728144
546	0.3588519872
547	0.3585356509
548	0.3583709833
549	0.3582746675
550	0.35810238
551	0.3580119942
552	0.3578102751
553	0.3576713767
554	0.3575060579
555	0.3572184858
556	0.3570763694
557	0.3569854581
558	0.3567953019
559	0.3566550807
560	0.3565388259
561	0.3563295603
562	0.3562021483
563	0.3560690576
564	0.3553361039
565	0.3552299155
566	0.3551189171
567	0.3549582538
568	0.3547831798
569	0.3546495087
570	0.3544562716
571	0.3542325541
572	0.3540770577
573	0.3539869284
574	0.3537574098
575	0.3536409287
576	0.3535039277
577	0.3534052325
578	0.3530705744
579	0.3528968657
580	0.3526594553
581	0.3525585528
582	0.3524032236
583	0.3522744475
584	0.3521799455
585	0.3520803732
586	0.3519946468
587	0.3518862514
588	0.3517722696
589	0.351658184
590	0.3515144753
591	0.3513529242
592	0.3510185702
593	0.3507252537
594	0.3505088167
595	0.3502898085
596	0.3498642696
597	0.3497080764
598	0.3494611309
599	0.3490180006
600	0.3488994758
601	0.3483859709
602	0.3482479007
603	0.348122053
604	0.3479419939
605	0.3475846136
606	0.3474548522
607	0.3472298933
608	0.347139524
609	0.3465714463
610	0.3464394151
611	0.3462473731
612	0.3461100277
613	0.345949963
614	0.3457016789
615	0.3456141893
616	0.3454757662
617	0.3453028697
618	0.345152795
619	0.3450179261
620	0.3448934748
621	0.3445711432
622	0.344290524
623	0.3441641247
624	0.3440374571
625	0.3439174746
626	0.3436518403
627	0.3430939942
628	0.3429730494
629	0.3428518506
630	0.3426707617
631	0.3422240083
632	0.3419853341
633	0.3419008809
634	0.3417164092
635	0.3416065772
636	0.341498094
637	0.3413336095
638	0.3411780075
639	0.3410789285
640	0.3409568968
641	0.3408104056
642	0.3407408767
643	0.3406126402
644	0.3403810735
645	0.340230016
646	0.3399725655
647	0.3398608717
648	0.3397367614
649	0.3394203592
650	0.3391102371
651	0.3389787412
652	0.3388716031
653	0.3387061299
654	0.3385465612
655	0.3384099323
656	0.3383146094
657	0.338107819
658	0.3379322464
659	0.3377838603
660	0.3375464813
661	0.3374113171
662	0.337170897
663	0.3369100049
664	0.3367269828
665	0.3366204982
666	0.3364944064
667	0.3363100981
668	0.3362334929
669	0.3357051959
670	0.3353151752
671	0.335216392
672	0.3349519742
673	0.3345311978
674	0.3344332766
675	0.3343227135
676	0.3342024751
677	0.334040711
678	0.3338726896
679	0.3336989032
680	0.3336056521
681	0.3335261414
682	0.3334416695
683	0.33325652
684	0.333001623
685	0.3327510727
686	0.3326483388
687	0.3325408823
688	0.3323237946
689	0.3322464282
690	0.3321463368
691	0.3319997284
692	0.3317721754
693	0.3316440875
694	0.331287758
695	0.3312134827
696	0.3311085405
697	0.3310174291
698	0.3308947009
699	0.3306814783
700	0.3305341067
701	0.3303934335
702	0.3302621001
703	0.3301609536
704	0.3299702199
705	0.3295851104
706	0.3294525756
707	0.328921778
708	0.3287707317
709	0.3286471011
710	0.3285384149
711	0.3283616544
712	0.3281221157
713	0.3280010154
714	0.3278731868
715	0.3277828117
716	0.3276160944
717	0.3274480899
718	0.3273174621
719	0.3271913184
720	0.3270576838
721	0.326898397
722	0.3267810638
723	0.3266653381
724	0.3265477456
725	0.3264313628
726	0.3263149701
727	0.3261788105
728	0.3260628764
729	0.3259408208
730	0.3257154253
731	0.325544383
732	0.3254090868
733	0.3253354522
734	0.3252291068
735	0.3250817305
736	0.3249701553
737	0.3247706977
738	0.3246599828
739	0.3245180576
740	0.3244124149
741	0.3242676844
742	0.3238545381
743	0.3235722942
744	0.3234084941
745	0.3233002247
746	0.3232206947
747	0.32312787
748	0.3229993487
749	0.3228463603
750	0.3227524528
751	0.3226220159
752	0.3224668721
753	0.3223078811
754	0.3221862202
755	0.3219624069
756	0.3218893373
757	0.3216255399
758	0.3214696051
759	0.321354499
760	0.3212419153
761	0.3210983495
762	0.320958185
763	0.3207139128
764	0.3205971341
765	0.3204246736
766	0.3202928337
