iter	Passed	Remaining
0	372	372300
1	613	305909
2	870	289226
3	1131	281632
4	1395	277613
5	1619	268259
6	1832	259912
7	2041	253134
8	2283	251488
9	2492	246788
10	2687	241593
11	2881	237248
12	3096	235080
13	3331	234598
14	3580	235086
15	3854	237059
16	4121	238332
17	4375	238725
18	4623	238694
19	4874	238847
20	5169	240991
21	5417	240827
22	5738	243774
23	5949	241935
24	6153	239994
25	6347	237771
26	6541	235747
27	6754	234479
28	6948	232655
29	7196	232694
30	7455	233052
31	7726	233733
32	7982	233900
33	8199	232959
34	8416	232044
35	8614	230669
36	8809	229281
37	9007	228028
38	9202	226767
39	9397	225551
40	9591	224350
41	9796	223447
42	10000	222559
43	10193	221479
44	10387	220447
45	10583	219485
46	10783	218645
47	10978	217731
48	11176	216909
49	11371	216059
50	11568	215269
51	11762	214436
52	11961	213722
53	12166	213143
54	12366	212477
55	12562	211764
56	12760	211107
57	12964	210564
58	13174	210119
59	13374	209538
60	13584	209110
61	13800	208780
